screen_order	trial_id	stimulus_text	item_type_hidden	foil_type_hidden	expected_response_hidden	rater_common_pv_yes_no_unsure	rater_naturalness_1_4	rater_comments
1	audio_v2_016	take back	real	target_pv	yes			
2	audio_v2_049	explain up	foil	pseudo_particle_non_pv	no			
3	audio_v2_037	go down	real	target_pv	yes			
4	audio_v2_074	sleep outside	foil	natural_free_combination	no			
5	audio_v2_045	sum up	real	target_pv	yes			
6	audio_v2_072	estimate around	foil	pseudo_particle_non_pv	no			
7	audio_v2_038	come on	real	target_pv	yes			
8	audio_v2_083	pause before	foil	natural_free_combination	no			
9	audio_v2_071	identify off	foil	pseudo_particle_non_pv	no			
10	audio_v2_078	sit near	foil	natural_free_combination	no			
11	audio_v2_044	point out	real	target_pv	yes			
12	audio_v2_029	keep up	real	target_pv	yes			
13	audio_v2_081	swim across	foil	natural_free_combination	no			
14	audio_v2_055	suggest over	foil	pseudo_particle_non_pv	no			
15	audio_v2_051	mention down	foil	pseudo_particle_non_pv	no			
16	audio_v2_026	set out	real	target_pv	yes			
17	audio_v2_013	run out	real	target_pv	yes			
18	audio_v2_079	drive past	foil	natural_free_combination	no			
19	audio_v2_092	look north	foil	natural_free_combination	no			
20	audio_v2_021	get down	real	target_pv	yes			
21	audio_v2_093	step sideways	foil	natural_free_combination	no			
22	audio_v2_053	include back	foil	pseudo_particle_non_pv	no			
23	audio_v2_048	work out	real	target_pv	yes			
24	audio_v2_023	bring in	real	target_pv	yes			
25	audio_v2_030	put up	real	target_pv	yes			
26	audio_v2_063	prepare on	foil	pseudo_particle_non_pv	no			
27	audio_v2_052	require out	foil	pseudo_particle_non_pv	no			
28	audio_v2_076	travel beyond	foil	natural_free_combination	no			
29	audio_v2_004	put in	real	target_pv	yes			
30	audio_v2_062	notice through	foil	pseudo_particle_non_pv	no			
31	audio_v2_043	rule out	real	target_pv	yes			
32	audio_v2_059	report up	foil	pseudo_particle_non_pv	no			
33	audio_v2_019	get off	real	target_pv	yes			
34	audio_v2_088	fly above	foil	natural_free_combination	no			
35	audio_v2_089	park outside	foil	natural_free_combination	no			
36	audio_v2_075	wait inside	foil	natural_free_combination	no			
37	audio_v2_039	come in	real	target_pv	yes			
38	audio_v2_033	look out	real	target_pv	yes			
39	audio_v2_017	make out	real	target_pv	yes			
40	audio_v2_086	live beside	foil	natural_free_combination	no			
41	audio_v2_066	choose down	foil	pseudo_particle_non_pv	no			
42	audio_v2_096	walk nearby	foil	natural_free_combination	no			
43	audio_v2_080	lean beside	foil	natural_free_combination	no			
44	audio_v2_036	go up	real	target_pv	yes			
45	audio_v2_012	pull back	real	target_pv	yes			
46	audio_v2_025	clean up	real	target_pv	yes			
47	audio_v2_022	cut off	real	target_pv	yes			
48	audio_v2_047	lay out	real	target_pv	yes			
49	audio_v2_065	design off	foil	pseudo_particle_non_pv	no			
50	audio_v2_018	pay off	real	target_pv	yes			
51	audio_v2_002	hand over	real	target_pv	yes			
52	audio_v2_014	turn over	real	target_pv	yes			
53	audio_v2_031	turn around	real	target_pv	yes			
54	audio_v2_008	move up	real	target_pv	yes			
55	audio_v2_009	get on	real	target_pv	yes			
56	audio_v2_007	hold back	real	target_pv	yes			
57	audio_v2_061	argue back	foil	pseudo_particle_non_pv	no			
58	audio_v2_091	turn left	foil	natural_free_combination	no			
59	audio_v2_085	stay near	foil	natural_free_combination	no			
60	audio_v2_015	put on	real	target_pv	yes			
61	audio_v2_042	carry out	real	target_pv	yes			
62	audio_v2_073	walk across	foil	natural_free_combination	no			
63	audio_v2_082	crawl under	foil	natural_free_combination	no			
64	audio_v2_006	sit back	real	target_pv	yes			
65	audio_v2_090	rest inside	foil	natural_free_combination	no			
66	audio_v2_027	break down	real	target_pv	yes			
67	audio_v2_095	wait outside	foil	natural_free_combination	no			
68	audio_v2_028	reach out	real	target_pv	yes			
69	audio_v2_011	stand out	real	target_pv	yes			
70	audio_v2_056	observe around	foil	pseudo_particle_non_pv	no			
71	audio_v2_064	measure back	foil	pseudo_particle_non_pv	no			
72	audio_v2_003	give out	real	target_pv	yes			
73	audio_v2_094	move sideways	foil	natural_free_combination	no			
74	audio_v2_034	take out	real	target_pv	yes			
75	audio_v2_060	claim out	foil	pseudo_particle_non_pv	no			
76	audio_v2_041	bring about	real	target_pv	yes			
77	audio_v2_070	examine up	foil	pseudo_particle_non_pv	no			
78	audio_v2_068	reduce on	foil	pseudo_particle_non_pv	no			
79	audio_v2_024	put out	real	target_pv	yes			
80	audio_v2_077	stand below	foil	natural_free_combination	no			
81	audio_v2_035	look back	real	target_pv	yes			
82	audio_v2_032	back up	real	target_pv	yes			
83	audio_v2_084	arrive after	foil	natural_free_combination	no			
84	audio_v2_001	break off	real	target_pv	yes			
85	audio_v2_069	increase back	foil	pseudo_particle_non_pv	no			
86	audio_v2_050	describe off	foil	pseudo_particle_non_pv	no			
87	audio_v2_040	come out	real	target_pv	yes			
88	audio_v2_020	turn up	real	target_pv	yes			
89	audio_v2_087	kneel beside	foil	natural_free_combination	no			
90	audio_v2_054	compare up	foil	pseudo_particle_non_pv	no			
91	audio_v2_067	define out	foil	pseudo_particle_non_pv	no			
92	audio_v2_010	come along	real	target_pv	yes			
93	audio_v2_058	accept off	foil	pseudo_particle_non_pv	no			
94	audio_v2_046	follow up	real	target_pv	yes			
95	audio_v2_005	take in	real	target_pv	yes			
96	audio_v2_057	prefer down	foil	pseudo_particle_non_pv	no			
