pv_id	pv	v6_pool_status	candidate_gate_status	list_A_item_id	list_A_condition	list_B_item_id	list_B_condition	pair_rationale
pv_001	break off	active_candidate	prelim_pass_native_review_required	ljt_001a	acceptable	ljt_001b	unacceptable	Both objects belong to negotiation contexts; the unacceptable item targets the fact that break off selects talks or relations, not a proposal itself.
pv_002	hand over	active_candidate	prelim_pass_native_review_required	ljt_002b	unacceptable	ljt_002a	acceptable	Both objects are legal-domain nouns; the unacceptable item keeps the domain but uses an event noun that cannot be handed over as custody or control.
pv_008	move up	active_candidate	prelim_pass_native_review_required	ljt_008a	acceptable	ljt_008b	unacceptable	Both outcomes are ranking positions; rejection depends on knowing that move up denotes upward rank movement.
pv_009	get on	active_candidate	prelim_pass_native_review_required	ljt_009b	unacceptable	ljt_009a	acceptable	Both nouns are transport-domain nouns; only a vehicle-like noun is compatible with the boarding sense.
pv_011	stand out	active_candidate	prelim_pass_native_review_required	ljt_011a	acceptable	ljt_011b	unacceptable	Both nouns are writing-domain nouns; the unacceptable item changes the comparison set from same-class submissions to document parts.
pv_012	pull back	active_candidate	prelim_pass_native_review_required	ljt_012b	unacceptable	ljt_012a	acceptable	Both complements are decision-domain nouns; the unacceptable item uses a state/result where an activity or commitment is expected.
pv_013	run out	active_candidate	prelim_pass_native_review_required	ljt_013a	acceptable	ljt_013b	unacceptable	Both objects are research-domain nouns; samples can be depleted as supplies, whereas findings are not normally used up as a stock.
pv_014	turn over	active_candidate	prelim_pass_native_review_required	ljt_014b	unacceptable	ljt_014a	acceptable	Both objects are administrative/legal nouns; records can be surrendered to authorities, but permission is not an object surrendered in this frame.
pv_015	put on	active_candidate	prelim_pass_native_review_required	ljt_015a	acceptable	ljt_015b	unacceptable	Both objects belong to theater contexts; the unacceptable item uses a theater-related artifact rather than an event or performance.
pv_016	take back	active_candidate	prelim_pass_native_review_required	ljt_016b	unacceptable	ljt_016a	acceptable	Both nouns are sports-outcome nouns; lead can be regained, whereas loss is not normally regained by taking it back.
pv_018	pay off	active_candidate	prelim_pass_native_review_required	ljt_018a	acceptable	ljt_018b	unacceptable	Both subjects are finance-domain nouns; investment can yield a benefit, while invoice is not normally an intransitive source of payoff.
pv_019	get off	active_candidate	prelim_pass_native_review_required	ljt_019b	unacceptable	ljt_019a	acceptable	Both nouns are transport-domain nouns; only the vehicle-like noun supports the leave-a-vehicle sense.
pv_020	turn up	active_candidate	prelim_pass_native_review_required	ljt_020a	acceptable	ljt_020b	unacceptable	Both complements are legal-domain nouns; court is a location/event site, whereas testimony is not a place where someone turns up.
pv_022	cut off	active_candidate	prelim_review_required	ljt_022b	unacceptable	ljt_022a	acceptable	Both objects belong to talk-show discourse; the target sense selects an active speaker, not the topic of conversation.
pv_023	bring in	active_candidate	prelim_pass_native_review_required	ljt_023a	acceptable	ljt_023b	unacceptable	Both objects are professional-service nouns; the target sense requires a person or role, not the service event itself.
pv_026	set out	active_candidate	prelim_pass_native_review_required	ljt_026b	unacceptable	ljt_026a	acceptable	Both nouns are document-domain nouns; the target sense selects an explanation or rules, not a document section as such.
pv_027	break down	active_candidate	prelim_pass_native_review_required	ljt_027a	acceptable	ljt_027b	unacceptable	Both nouns are sports-domain nouns; a play can be analyzed into parts, whereas a whistle is not an analytical problem in this frame.
pv_028	reach out	active_candidate	prelim_pass_native_review_required	ljt_028b	unacceptable	ljt_028a	acceptable	Both complements are health-domain nouns; the target sense requires a person or group that can be contacted.
pv_031	turn around	active_candidate	prelim_pass_native_review_required	ljt_031a	acceptable	ljt_031b	unacceptable	Both objects are sports-outcome nouns; a season can be transformed, whereas a defeat itself is not normally turned around after the fact.
pv_032	back up	active_candidate	prelim_pass_native_review_required	ljt_032b	unacceptable	ljt_032a	acceptable	Both nouns are research-discourse nouns; data can support a conclusion, but not confusion as a claim.
pv_034	take out	active_candidate	prelim_pass_native_review_required	ljt_034a	acceptable	ljt_034b	unacceptable	Both objects are finance/document nouns; mortgage fits the obtain-an-official-service sense, while receipt does not.
pv_040	come out	active_candidate	prelim_review_required	ljt_040b	unacceptable	ljt_040a	acceptable	Both subjects are legal-domain nouns; the acceptable subject is hidden information, whereas the unacceptable subject is a person and risks alternate literal readings.
pv_041	bring about	active_candidate	prelim_pass_native_review_required	ljt_041a	acceptable	ljt_041b	unacceptable	Both objects are policy/research nouns; reforms can cause change, whereas evidence is normally produced or found rather than brought about by reforms.
pv_042	carry out	active_candidate	prelim_pass_native_review_required	ljt_042b	unacceptable	ljt_042a	acceptable	Both objects are research-domain nouns; analysis is a task that can be carried out, whereas hypothesis is a proposition to test.
pv_043	rule out	active_candidate	prelim_pass_native_review_required	ljt_043a	acceptable	ljt_043b	unacceptable	Both objects are medical-domain nouns; infection can be excluded as a possibility, whereas symptoms are observed signs, not the ruled-out condition.
pv_044	point out	active_candidate	prelim_pass_native_review_required	ljt_044b	unacceptable	ljt_044a	acceptable	Both objects are academic-document nouns; the review can identify a limitation, whereas appendix is a document part and creates weaker target fit.
pv_045	sum up	active_candidate	prelim_pass_native_review_required	ljt_045a	acceptable	ljt_045b	unacceptable	Both nouns are academic-document nouns; an abstract summarizes a study, not a heading.
pv_046	follow up	active_candidate	prelim_pass_native_review_required	ljt_046b	unacceptable	ljt_046a	acceptable	Both complements are medical-domain nouns; the follow-up frame requires an event or case, not an instrument.
pv_047	lay out	active_candidate	prelim_pass_native_review_required	ljt_047a	acceptable	ljt_047b	unacceptable	Both objects are document/information nouns; diagram can present a process clearly, not normally a footnote.
pv_048	work out	active_candidate	prelim_pass_native_review_required	ljt_048b	unacceptable	ljt_048a	acceptable	Both objects are classroom-domain nouns; equation is a problem that can be solved, whereas pencil is not.
