pv_id	pv	v6_pool_status	candidate_gate_status	red_team_risk_level	residual_risk_type	red_team_note	recommended_next_action
pv_001	break off	active_candidate	prelim_pass_native_review_required	moderate	collocation_vs_construct	Proposal is same-domain, but rejection may still reduce to collocation knowledge rather than the full end-talks sense.	native_review_required
pv_002	hand over	active_candidate	prelim_pass_native_review_required	moderate	event_noun_cue	Arrest is a legal-domain event noun; participants may reject from noun type rather than transfer-of-control meaning.	native_review_required
pv_008	move up	active_candidate	prelim_pass_native_review_required	low	minimal	Rank direction is locally tied to the particle meaning and is comparatively robust.	native_review_required
pv_009	get on	active_candidate	prelim_pass_native_review_required	moderate	transport_world_knowledge	Station is same-domain, but vehicle vs place knowledge may make the item easier than intended.	native_review_required
pv_011	stand out	active_candidate	prelim_pass_native_review_required	moderate	comparison_class_cue	Pages are document-domain but not same-class alternatives; rejection may come from comparison-set oddness.	native_review_required
pv_012	pull back	active_candidate	prelim_pass_native_review_required	moderate	abstract_complement_cue	Approval is decision-domain, but the item may still be rejected because it is not an activity or commitment.	native_review_required
pv_013	run out	active_candidate	prelim_pass_native_review_required	moderate	depletion_world_knowledge	Findings are same research domain, but the depleted-resource contrast remains fairly transparent.	native_review_required
pv_014	turn over	active_candidate	prelim_pass_native_review_required	moderate	transfer_object_cue	Permission is administrative but may be rejected from object transferability rather than PV knowledge.	native_review_required
pv_015	put on	active_candidate	prelim_pass_native_review_required	moderate	object_category_cue	Ticket is theater-domain, but event vs artifact remains a broad cue.	native_review_required
pv_016	take back	active_candidate	prelim_pass_native_review_required	moderate	sports_outcome_cue	Lead/loss is same-domain, but the direction of regain may be recoverable from sports semantics.	native_review_required
pv_018	pay off	active_candidate	prelim_pass_native_review_required	moderate	finance_subject_cue	Invoice is finance-domain, but participants may reject it because it is not an agentive investment or effort.	native_review_required
pv_019	get off	active_candidate	prelim_pass_native_review_required	moderate	transport_world_knowledge	Terminal is same-domain, but vehicle vs place knowledge may make the item easier than intended.	native_review_required
pv_020	turn up	active_candidate	prelim_pass_native_review_required	moderate	location_complement_cue	Testimony is legal-domain, but the place/event-site contrast remains a general cue.	native_review_required
pv_022	cut off	active_candidate	prelim_review_required	high	alternate_sense_risk	Cut off the topic may be interpretable as ending discussion of a topic; revise before audio.	revise_before_audio
pv_023	bring in	active_candidate	prelim_pass_native_review_required	moderate	human_role_cue	Consultant/consultation controls domain but still creates a person-vs-event cue.	native_review_required
pv_026	set out	active_candidate	prelim_pass_native_review_required	moderate	possible_document_reading	A report could arguably set out an appendix in a document-organization sense; native review should check acceptability.	native_review_required
pv_027	break down	active_candidate	prelim_pass_native_review_required	moderate	analysis_object_cue	Whistle is sports-domain, but rejection may come from broad analyzability.	native_review_required
pv_028	reach out	active_candidate	prelim_pass_native_review_required	moderate	recipient_animacy_cue	Patients/symptoms controls domain but retains an animacy/recipient cue.	native_review_required
pv_030	put up	reserve_needs_native_review	reserve_not_listed	high	plausible_alternate_context	Brochure can be put up in some display contexts; keep as reserve, not active list.	revise_before_audio
pv_031	turn around	active_candidate	prelim_pass_native_review_required	moderate	sports_outcome_cue	Defeat is same-domain, but rejection may be recoverable from outcome semantics.	native_review_required
pv_032	back up	active_candidate	prelim_pass_native_review_required	moderate	claim_object_cue	Confusion is research-discourse related, but it is not a claim; cue remains broad.	native_review_required
pv_034	take out	active_candidate	prelim_pass_native_review_required	moderate	official_document_cue	Receipt is finance/document-domain but the official-service contrast is still transparent.	native_review_required
pv_040	come out	active_candidate	prelim_review_required	high	alternate_sense_risk	Witness came out can have literal or identity-disclosure readings; revise before audio.	revise_before_audio
pv_041	bring about	active_candidate	prelim_pass_native_review_required	moderate	result_object_cue	Evidence is policy/research-domain but may be rejected because it is not an event/result caused by reforms.	native_review_required
pv_042	carry out	active_candidate	prelim_pass_native_review_required	low	minimal	Analysis/hypothesis is a strong task-vs-proposition contrast within research discourse.	native_review_required
pv_043	rule out	active_candidate	prelim_pass_native_review_required	low	minimal	Condition-vs-symptom contrast is medically local and stable for the exclude-possibility sense.	native_review_required
pv_044	point out	active_candidate	prelim_pass_native_review_required	moderate	possible_document_reading	A review can point out an appendix in some contexts; native review should test whether it is truly unacceptable.	native_review_required
pv_045	sum up	active_candidate	prelim_pass_native_review_required	low	minimal	Study/heading contrast is local to summarization and comparatively stable.	native_review_required
pv_046	follow up	active_candidate	prelim_pass_native_review_required	moderate	event_vs_instrument_cue	Treatment/thermometer controls medical domain, but event-vs-instrument cue remains salient.	native_review_required
pv_047	lay out	active_candidate	prelim_pass_native_review_required	low	minimal	Process/footnote contrast is local to information organization and comparatively stable.	native_review_required
pv_048	work out	active_candidate	prelim_pass_native_review_required	moderate	problem_object_cue	Equation/pencil controls classroom domain, but problem-vs-tool cue remains broad.	native_review_required
